feature_id	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	A15M_R1	A15M_R2	A15M_R3	A45M_R1	A45M_R2	A45M_R3	A5M_R1	A5M_R2	A5M_R3	M_R1	M_R2	M_R3	PPL_R1
FT05527	307.191052823744	307.18931854708	307.191120956774	541.701214044918	540.372853111598	549.106933448412	33045807.1790648	16048077.3544079	18899486.1771618	21849765.0671514	47106726.7640232	30172324.7695368	25393909.4770285	28619472.1185424	28167088.1636056	25950425.1198103	34201715.4077807	21179712.8504657	9464883.32402761
FT05537	307.227418456925	307.227301231203	307.227497133341	612.211639377968	610.863533718319	612.825547030259	26074606.1666459	40331896.0512135	38738139.9163977	91963939.0935369	112042072.25523	90479371.1987277	17140605.3268059	27529493.2599134	25273380.6542775	13167265.0158875	12989704.4355094	19200249.1185309	1988787.53521744
FT05538	307.227427380581	307.227312449534	307.227532311846	626.867748501877	622.909765929372	637.425208687985	11981816.0207197	11459792.115928	13074606.2232873	24829642.7894218	18629637.9615937	18382136.9573532	13177903.1065473	10974527.7399226	17337469.3298612	12516656.2166043	11832083.0303892	14979962.4641081	1863211.1805747
FT05539	307.227391548084	307.227340049172	307.227467789377	649.441490200524	648.992335395082	649.639669233788	5327356.79691632	4839592.12728807	4695828.57225063	35634007.6008638	33741938.586513	27114700.3313038	4947402.13186412	3836153.16746029	4248413.26232205	2592449.32301589	3901229.40270758	2521778.50862648	1386585.47631785
FT05540	307.227415695743	307.227414062488	307.227470263569	572.882255425668	571.984220005355	573.521151263444	10763649.1553944	8688014.42569131	9225802.9946214	25509514.0578686	26667486.2047956	30280702.1278079	9658403.72144644	9138929.11910584	8150829.16671279	7163565.19969516	8504539.01195903	7831231.31844999	1161359.92168796
FT05541	307.248634368232	307.248486412699	307.248734462586	493.512824587195	492.963445250839	494.284425139174	9417506.04984844	10628003.5638343	11202253.9658476	8781676.78232	10095539.2438832	9873738.27541158	10180985.7992348	11592549.4558176	11474927.2684525	10873396.9567811	10982277.6514399	12656988.2063849	1688041.27887868
FT05542	307.248505216021	307.24832195439	307.248642859407	515.217735983507	514.46563180656	515.825831304505	8539699.00854865	8979662.9455861	9033826.73733873	11324856.6984221	13729534.7325476	11465917.5131662	9057898.11469754	10705195.6363464	9637452.18806147	10089758.4713397	11730143.0231842	10314393.3347233	3926322.3328735
FT05556	308.186279967496	308.186190248977	308.186374803601	833.324126322697	832.925007456095	834.304017820642	26234837.7785218	2646863.31784276	2742389.95185967	2481037.20472023	3260358.17431695	3413612.03891071	42359112.2328868	3233702.15984434	2817612.28634186	2386556.24204403	48725070.7090382	3009947.12994271	3735816.64475527
FT05558	308.186445709869	308.186445709869	308.186445709869	692.31757997852	692.31757997852	692.31757997852	20417147.7951204	2253389.31339855	2257914.86561701	2348899.89038714	2511415.12525145	2672574.27493718	20495170.658579	2910471.41846358	2673065.56577633	2110731.79492037	19839559.4293014	2753885.37247476	2143780.7857256
FT05559	308.186307936368	308.186307936368	308.186307936368	820.388327578182	820.388327578182	820.388327578182	32511169.3750718	4186806.49993512	4410599.87874023	4217687.04733415	4084631.94814507	4482623.87781366	31955645.7556344	4063021.61466106	4428414.78161834	3057732.07427442	30203185.75898	3984796.46571591	3146845.41598805
FT05566	308.222706863031	308.222603078219	308.222845117877	324.812078676579	324.568846394382	325.147959131062	28374819.6353904	27749378.9360946	28679696.7630004	56116643.5770079	57787247.1689894	57976459.799058	8873827.08141285	8690907.69737087	8484277.31573078	644063.514175557	353346.183738093	285509.457047353	333731.763731117
FT05568	308.222569242371	308.222569242371	308.222569242371	526.499847451415	526.499847451415	526.499847451415	4431756.91403039	5706900.0614188	5880235.81544966	5556873.61187003	7511243.36428539	7350163.99214399	3962969.96319967	5109452.85226426	4921159.95316913	4246014.73358315	2738531.9580754	4573361.20866068	2852549941.08881
FT05569	308.222910168536	308.222910168536	308.222910168536	572.405544860192	572.405544860192	572.405544860192	2174154.16389456	2762136.18579643	2243262.98212048	6278630.36415515	7089973.27194987	7586644.25268881	1454312.44332081	2211264.50166539	2437062.74655107	1665551.00097336	787320.842770547	1208821.41074164	51450532.3764917
FT05574	308.280276692286	308.280087311297	308.280433535974	572.288659957495	571.178476734322	572.882255425668	13103035.6221173	15313156.1686875	19049008.237179	18068234.2558924	20665210.3618138	21837635.518382	14903771.3905248	19046299.7878928	18878713.5775413	18303878.1512324	15639023.4309426	20861946.6658958	7652881.3465698
FT05581	309.110388513101	309.110360970532	309.110489006419	206.930836377115	206.46299027013	207.133632751901	3362465.82849412	4640922.87132786	2622979.78038868	169721573.489083	153086996.371956	165156421.49054	3459910.29565988	4123086.07788084	4172254.00235788	4252905.09214547	4103748.6505532	4100065.13630131	304177.406644529
FT05586	309.132218643159	309.13150857378	309.132928712538	463.243647319522	462.236357566099	464.250937072944	6445524.868902	5572782.31679008	3849838.84561724	1972542.54651602	7577780.48816166	7298141.63900281	5138827.69781662	4847176.71572376	4222791.92004594	4659120.4591701	6364016.2231397	5564166.65237739	9411515.33364408
FT05588	309.145284264984	309.145167134793	309.145346669278	188.538543420532	187.961361383282	189.197014250295	31317896.8095962	29345108.0050201	29185268.5559274	57052634.6166752	55388396.096607	58015122.4177521	28866508.530674	24801159.2864772	32985937.0162637	20075419.6610361	25578672.6816904	23247725.5258091	3249.91550347479
FT05589	309.145217143485	309.133838272565	309.145348674177	217.81157479643	213.131241024623	223.85416126591	22859920.0393091	34141100.4624934	39992818.2469606	77196063.2376519	67640101.2613824	78868640.4279587	6026424.7752386	41469508.5638767	33253791.8967834	23541457.366328	43799578.8400193	19139344.2452876	23205.3465094268
FT05590	309.145248532085	309.14515652596	309.145381443354	179.755223509809	179.188616488444	181.179469610462	20384833.7145062	25312206.683692	24610847.2660321	30553132.2941701	30469445.79924	28565192.6185951	26473341.7669954	21480856.365289	28462518.6449725	22826936.6608911	19591748.370755	27858739.2709919	4420.31508333061
FT05591	309.14528754469	309.145156143276	309.145398974961	162.761919216678	161.600203966628	169.182537751025	19031770.8498173	19034980.2031744	37372558.0103969	58970839.4651768	52038178.6952074	50565331.8244528	40827783.3926377	15029071.6853104	15598913.6240887	22499892.1125553	40113678.9222835	42715576.0622853	8124.69686041372
FT05592	309.145217947791	309.145102263073	309.145470013827	203.918325347135	198.491494049939	205.324441196075	17647933.686061	18627306.8433465	28384555.0488099	22889336.4629332	22479967.0825718	46744707.060929	30933311.4827096	15363461.453012	15156814.4871292	38698137.4578646	31962218.6873342	31893485.9682229	31462.37484376
